Umbrella Rank;Domain;Description
21250;differentia.ru;Andromeda Downloader, also some Adware. Sinkholed by MalwareTech
26422;disorderstatus.ru;""""""
46788;atomictrivia.ru;""""""
60654;api-restlet.com;Android Spyware - see https://nakedsecurity.sophos.com/2017/05/10/the-google-play-apps-that-say-they-dont-collect-your-data-and-then-do/
72105;api.safesurfing.me;Stantinko primarily Adware, sometimes malware - https://www.welivesecurity.com/wp-content/uploads/2017/07/Stantinko.pdf
72120;safesurfing.me;""""""
104127;iamback.ddns.net;H-Worm and njRat malware, hosted in Egypt
117518;e.googlex.me;Nitol malware - https://www.trustwave.com/Resources/SpiderLabs-Blog/Tale-of-the-Two-Payloads-%E2%80%93-TrickBot-and-Nitol/
120121;iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com;WannaCry Ransomware. Sinkholed by MalwareTech.
120507;hummercenter.com;CopyCat Android Adware - https://blog.checkpoint.com/2017/07/06/how-the-copycat-malware-infected-android-devices-around-the-world/
122306;statsevent.hummercenter.com;
136178;www.iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com;
136178;www.iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com;
155129;judas.judgebear.pro;
155130;judgebear.pro;
166138;teddysave.me;
177258;m.aedxdrcb.com;
185834;hellothere.publicvm.com;
186569;gp.miaoxia123.com;
192074;mr-wolf.redirectme.net;
205870;land.pckeeper.software;
210060;mr-wolf.myq-see.com;
212311;mr-wolf.linkpc.net;
226643;dz47.myq-see.com;
253065;molapple.ru.multi.uribl.com;
257814;application.teddysave.me;
260790;smkijgdnkso3d.net;
261735;lmodr.biz;
273696;molapple.ru.dob.sibl.support-intelligence.net;
284059;clickmsummer.com;
285218;statsevent.clickmsummer.com;
300343;dz47.servehttp.com;
300847;wmi.mykings.top;
310275;js.mykings.top;
327581;lacdileftre.ru;
328802;weksrubaz.ru;
329546;serfilefnom.ru;
329547;serppoglandam.ru;
330169;kometa-stat.ru;
330572;wertstumbahn.ru;
333181;servelatmiru.com;
337392;gt.yepodjr.com;
338404;likethatapps.com;
339179;drysetfirst.com;
344701;www.likethatapps.com;
346262;mzab47.myq-see.com;
349677;ultimate-discounter.org;
358839;fget.guangbom.com;
361061;dz47.linkpc.net;
363496;linturefa.ru;
367249;s.kometa-stat.ru;
373994;aps.kemoge.net;
378932;xablopefgr.ru;
383449;mifastubiv.ru;
383551;petronasconn.ru;
385859;fastserviceworld.com;
392169;tabidzuwek.ru;
393101;log.appsolo.net;
393475;restavratormira.ru;
395141;vesnarusural.ru;
410108;stafftest.ru;
436619;listat.biz;
437164;sdk.hummercenter.com;
452825;www.17tahun.com;
458058;molapple.ru;
458530;searchtopresults.com;
466916;t.eqqsl.com;
472652;maxy.no-ip.info;
475510;sys.aedxdrcb.com;
478771;dmp.coolyun.com;
487465;8aa51d334c7f8aa5.pw;
493033;jqueryapi.info;
494617;9amoo.zapto.org;
502272;best-deals-products.com;
511990;www.20mbweb.com;
522590;readlenta.ru;
522953;tracksummer.com;
557479;ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.com;
564884;qptest.ru;
566068;xdz.no-ip.org;
571447;oahm.duckdns.org;
573767;down.smykttum.com;
576371;07.super5566.com;
580042;08.super5566.com;
586170;somethodox.info;
592088;hdr-group.org;
596599;oiqbgenbchsss.com;
600175;molapple.ru.dnsbl7.mailshell.net;
602528;api.gadmobs.com;
603544;hdr-group.net;
605402;update.hdr-group.net;
616271;merithertret.com;
640324;xxlvbrloxvriy2c5.onion;
640879;blasterbitez.biz;
648623;teddy-protection.com;
649810;7v3y2.blasterbitez.biz;
653022;search.feedvertizus.com;
658742;www.best-deals-products.com;
661919;noobminer.newblackage.com;
663272;tmrobo.org;
664447;57g7spgrzlojinas.onion;
665844;ftp.oo000oo.me;
669975;axclick.store;
670538;cwwnhwhlz52maqm7.onion;
673661;update.tmrobo.org;
676420;icloudsrv.info;
678819;update.icloudsrv.info;
685420;76jdd2ir2embyv47.onion;
688703;qj.hoyebs.com;
696147;www.ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.com;
696147;www.ifferfsodp9ifjaposdfjhgosurijfaewrwergwea.com;
701083;sys.hdyfhpoi.com;
703931;ericcopyrightcode.com;
704282;gx7ekbenv2riucmf.onion;
706906;taosha.cc;
719705;www.fajarweb.com;
720808;apis.groupteamapi.com;
722248;g.axclick.store;
722248;g.axclick.store;
722575;icloudsrv.com;
731101;sk2.touchpadz.com;
744372;sys.syllyq1n.com;
746374;api-restlet.com.domain.name;
746405;api.wipmania.com.yeloto.ru;
760882;client.api-restlet.com;
767078;adz2you.com;
768389;down.mysking.info;
780175;www.adz2you.com;
780175;www.adz2you.com;
790487;eevuihiexpat.org;
804603;am.super1024.com;
806205;err.kometa-stat.ru;
810501;update.teddy-protection.com;
813996;drivinfosproduits.info;
816401;ns1.timechk15.com;
816496;offercreatices.tracksummer.com;
818482;timechk15.com;
823154;gt.rogsob.com;
823596;interface.xyzs.com;
829367;adnetwork33.redirectme.net;
834245;qj.hoyow.com;
835604;t.pkqqsl.com;
835944;u.axclick.store;
835944;u.axclick.store;
841817;m.kometa-stat.ru;
847339;ab890e964c34.com;
852256;passportinfo.info;
858634;dynainfo.info;
866677;aifomtomyam69.org;
872099;pullinfo.info;
879535;googlemapsup.ddns.net;
885352;www.aifomtomyam69.org;
885643;www.eevuihiexpat.org;
887351;aiwohblackhatx.org;
889207;down.zigyfdeb.com;
893013;pubjeuxinfos.info;
901022;hrtests.ru;
903384;panel.minecoins18.com;
903529;pixieinfo.info;
906799;www.aiwohblackhatx.org;
938005;profetest.ru;
958192;drivsnfosproduits.info;
964354;software.xyzs.com;
968564;aa1.super5566.com;
971056;disorderstatus.ru.home;
977810;stopspam.io;
978296;tongji.xyzs.com;
980446;www.onesystemupdate.com;
983792;coneptor.qarallax.com;
983792;coneptor.qarallax.com;
985551;googlechrome.servequake.com;
989293;qarallax.com;
998086;drivsinfosproduits.info;
998381;electronicdatabases.info;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
