Row Labels;Count of Reports
paloaltonetworks.com;107
trendmicro.com;92
symantec.com;58
securelist.com;57
fireeye.com;38
welivesecurity.com;35
proofpoint.com;34
microsoft.com;24
twitter.com;20
fortinet.com;19
hybrid-analysis.com;18
arbornetworks.com;17
cisco.com;33
malwarebytes.org;17
cylance.com;16
github.com;16
mcafee.com;15
citizenlab.org;14
myonlinesecurity.co.uk;14
virustotal.com;14
checkpoint.com;13
clearskysec.com;12
drweb.com;12
forcepoint.com;11
malware-traffic-analysis.net;11
zscaler.com;11
cyphort.com;10
bleepingcomputer.com;9
malwarebytes.com;9
rsa.com;9
talosintel.com;9
blogspot.co.uk;8
f-secure.com;8
secureworks.com;8
threatconnect.com;8
fidelissecurity.com;7
0x3a.com;6
alienvault.com;6
blogspot.com;6
crowdstrike.com;6
github.io;6
githubusercontent.com;6
sans.edu;6
bluecoat.com;5
cert.pl;5
isightpartners.com;5
jpcert.or.jp;5
morphick.com;5
pastebin.com;5
sophos.com;5
trustwave.com;5
cyberkov.com;4
dontneedcoffee.com;4
phishme.com;4
securityintelligence.com;4
sucuri.net;4
threatgeek.com;4
volexity.com;4
blogs.com;3
cert.gov.ua;3
ci-project.org;3
cyber4sight.com;3
cys-centrum.com;3
cysinfo.com;3
drweb.ru;3
flashpoint-intel.com;3
fox-it.com;3
gdatasoftware.com;3
google.com;3
issp.ua;3
objective-see.com;3
opendns.com;3
s21sec.com;3
websense.com;3
wordpress.com;3
0day.jp;2
admin.ch;2
badcyber.com;2
carbonblack.com;2
cybereason.com;2
cyintanalysis.com;2
damballa.com;2
dragonthreatlabs.com;2
dynamoo.com;2
eff.org;2
exposedbotnets.com;2
ghostbin.com;2
invincea.com;2
itsjack.cc;2
kaspersky.com;2
kernelmode.info;2
krebsonsecurity.com;2
malcovery.com;2
malwaremustdie.org;2
malwr.com;2
minerva-labs.com;2
mitre.org;2
pwc.co.uk;2
quicksand.io;2
reverse.it;2
riskanalytics.com;2
riskiq.com;2
threatstream.com;2
us-cert.gov;2
vallejo.cc;2
virusradar.com;2
360.cn;1
360.com;1
401trg.pw;1
abuse.ch;1
adobe.com;1
ahnlab.com;1
alyac.co.kr;1
amnesty.org;1
arsenalexperts.com;1
asiaone.com;1
avast.com;1
bacninh.gov.vn;1
baesystems.com;1
bellingcat.com;1
bit.ly;1
bit9.com;1
blogspot.ae;1
blogspot.be;1
blogspot.com.es;1
blogspot.fr;1
blogspot.ro;1
broadanalysis.com;1
cari.net;1
cern.ch;1
cert.gov.il;1
cert.org.cn;1
circl.lu;1
citizenlab.ca;1
comae.io;1
comodo.com;1
cryptam.com;1
csirt.ninja;1
csis.dk;1
cyberattacks.ca;1
cyberscoop.com;1
cyberx-labs.com;1
cyveillance.com;1
dataprotection.com.ua;1
daum.net;1
dragos.com;1
dshield.org;1
emsisoft.com;1
endgame.com;1
f5.com;1
firstlook.org;1
forbes.com;1
foregenix.com;1
freebuf.com;1
fsec.or.kr;1
gitlab.io;1
guardicore.com;1
hackcon.org;1
hp.com;1
hpe.com;1
ht.ly;1
icebrg.io;1
intelsecurity.com;1
intezer.com;1
joesecurity.org;1
johannesbader.ch;1
knownsec.com;1
korumail.com;1
krcert.or.kr;1
kudelskisecurity.com;1
lac.co.jp;1
level3.com;1
lexsi-leblog.com;1
linuxmint.com;1
logdown.com;1
logrhythm.com;1
lookout.com;1
medium.com;1
morphick.net;1
morphisec.com;1
mosaichub.com;1
mozilla.org;1
netzpolitik.org;1
niebezpiecznik.pl;1
novetta.com;1
nsfocus.net;1
nviso.be;1
openanalysis.net;1
operationblockbuster.com;1
pandasecurity.com;1
paralympic.org;1
passivetotal.org;1
phishlabs.com;1
recordedfuture.com;1
rednaga.io;1
reuters.com;1
root9b.com;1
ropchain.com;1
safebit.mn;1
seclists.org;1
seculert.com;1
securify.nl;1
seebug.org;1
sentinelone.com;1
sentrant.com;1
shadowserver.org;1
skycure.com;1
ssi.gouv.fr;1
techhelplist.com;1
telussecuritylabs.com;1
theintercept.com;1
thisissecurity.net;1
threatcrowd.org;1
threattracksecurity.com;1
tr1adx.net;1
u-toyama.ac.jp;1
vanimpe.eu;1
vectranetworks.com;1
vice.com;1
vkremez.com;1
votiro.com;1
waseda.jp;1
webroot.com;1
zingbox.com;1
