Rank;Threat Actor;Count
1;Sofacy;30
2;Lazarus Group;17
3;Anunak;15
4;Turla Group;15
5;Oilrig;10
6;APT 29;8
7;Molerats;8
8;Greenbug;5
9;NSO;5
10;Stone Panda;7
11;Dridex;4
12;Dropping Elephant;4
13;Emissary Panda;4
14;Kasper;4
15;Shell Crew;4
16;UPS;4
17;Cobalt Gang;3
18;DarkHotel;3
19;DragonOK;3
20;Locky;3
;Lotus Blossum;3
;Rocket Kitten;3
;Sandworm;6
;Scarlet Mimic;3
;Shamoon;3
;Telebots;Merged with Sandworm
;Winnti;3
;APT10;Merged with stone panda
;Arid Viper;2
;Axiom;2
;Codoso;2
;Gamaredon Group;2
;IXESHE;2
;Konni;2
;Lurk;2
;Mirage;2
;Naikon;2
;PlugX;2
;PoisonIvyMongol;2
;SageCrypt;2
;Tick;2
;Trickbot;2
;Wekby;2
;APT 30;1
;APT.3102;1
;APT32;1
;Astrum;1
;Aurora;1
;Aurora Panda;1
;Babar;1
;Barium;1
;Bitter;1
;Buhtrap;1
;Callisto;1
;CardinalRat;1
;Charming Kitten;1
;Citadel;1
;Cleaver;1
;Cobalt;1
;CopyKitten;1
;Derusbi;1
;Dust Storm;1
;El Machete;1
;Eli;1
;Emotet;1
;Energetic Bear;1
;Every MySQL server facing the internet is prone to this attack;1
;EvilGrab;1
;EyePyramid;1
;FareIT;1
;FIN8;1
;Gaza Cybergang;1
;Gaza Hackers Team;1
;Gh0st;1
;Groundbait;1
;HackingTeam;1
;Hellsing;1
;https://zeustracker.abuse.ch/blocklist.php?download=compromised;1
;HummingBad;1
;Hworm;1
;Infy;1
;Iran;1
;Jaff;1
;Janus Cybercrime Solutions;1
;KeyBoy;1
;Kingphish;1
;KrBanker;1
;Lambda Anti Society Team;1
;Lamberts;1
;Leverage;1
;Lotus Blossom;1
;Magnitude;1
;Malumpos;1
;Micropsia;1
;MMCore;1
;Mofang;1
;Necurs;1
;Neuron;1
;Neutrino;1
;Ocean Lotus;1
;OceanLotus;1
;Packrat;1
;PLATINUM;1
;Ploutus;1
;Ploutus Team;1
;Poseidon Group;1
;ProjectSauron;1
;PROMETHIUM;1
;Putter Panda;1
;Qakbot;1
;Roaming Tiger;1
;Rokrat;1
;RTM;1
;SamSa;1
;SamSam;1
;Silent Chollima;1
;Snake Wine;1
;Snowglobe;1
;Stonedrill;1
;StrongPity;1
;Suckfly;1
;TeamXRat;1
;Temper Panda;1
;Threat Group-3390;1
;Tropic Trooper;1
;Ursnif;1
;Vault7;1
;Volatile Cedar;1
;WannaCry;1
;ZeroT;1
;Zyklon;1
